,country,title,variety,winery,price,year
745,24.17241379310345,Ribafreixo 2015 Pato Frio Antão Vaz (Alentejo),12.0,56,12.0,2015
817,17.575,La Playa 2012 Block Selection Reserve Block N. 10 Merlot (Colchagua Valley),525.0,57,12.0,2012
80,17.575,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),61.0,58,12.0,2014
494,39.18766066838046,Knapp 2011 Chardonnay (Finger Lakes),3298.0,59,12.0,2011
820,26.029411764705884,Navardia 2013 Made With Organic Grapes  (Rioja),136.0,60,12.0,2013
93,18.6,Fuchs 2015 Grüner Veltliner (Burgenland),157.0,61,12.0,2015
749,42.0,Cave de Beblenheim 2009 Baron de Hoen Riesling (Alsace),2244.0,62,12.0,2009
444,18.6,Eschenhof Holzer 2015 Altweingarten Grüner Veltliner (Wagram),157.0,63,12.0,2015
68,39.18766066838046,Cocobon 2014 Red (California),1997.0,65,12.0,2014
14,39.18766066838046,Mirassou 2012 Chardonnay (Central Coast),3298.0,66,12.0,2012
613,24.17241379310345,Solar de Pinheiro 2012 Paço de São Lourenço White (Vinho Verde),202.0,67,12.0,2012
984,9.5,Byzantium 2005 Rosso di Valachia Red (Dealu Mare),1997.0,68,12.0,2005
324,32.2972972972973,L'Antica Quercia 2007 Matiú Brut  (Prosecco di Conegliano),194.0,69,12.0,2007
39,32.2972972972973,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),87.0,70,12.0,2011
70,39.18766066838046,Drumheller 2014 Chardonnay (Columbia Valley (WA)),3298.0,71,12.0,2014
990,39.18766066838046,Dancing Bull 2007 Sauvignon Blanc (California),605.0,72,12.0,2007
506,32.2972972972973,Altùris 2011 White (Venezia Giulia),597.0,73,12.0,2011
232,47.16,Angove's 2006 Red Belly Black Shiraz (South Australia),420.0,74,12.0,2006
183,32.88235294117647,Alamos 2007 Torrontés (Salta),46.0,75,12.0,2007
411,39.18766066838046,Morro Bay 2006 Split Oak Vineyard Cabernet Sauvignon (California),3878.0,76,12.0,2006
8,79.0,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),340.0,77,12.0,2013
993,42.0,Domaine du Tariquet 2007 Chenin Blanc-Chardonnay (Vin de Pays des Côtes de Gascogne),12.0,11,12.0,2007
975,32.2972972972973,Feudo Montoni 2008 P Pinot Noir (Sicilia),4511.0,78,12.0,2008
441,18.6,Winzer Krems 2015 Rosé Zweigelt (Niederösterreich),12.0,79,12.0,2015
245,32.88235294117647,Finca Las Moras 2007 Reserve Chardonnay (San Juan),3298.0,80,12.0,2007
922,32.88235294117647,Finca Sophenia 2015 Altosur Sauvignon Blanc (Tupungato),605.0,81,12.0,2015
737,24.17241379310345,Wines & Winemakers 2015 Casa Ermelinda Freitas Monte de Baía Rosé (Península de Setúbal),493.0,82,12.0,2015
483,29.11111111111111,Cape View 2011 Chenin Blanc (Stellenbosch),113.0,83,12.0,2011
579,39.18766066838046,Cupcake 2016 Rosé (California),493.0,84,13.0,2016
591,18.6,Winzer Krems 2016 GV Grüner Veltliner (Niederösterreich),157.0,79,13.0,2016
751,17.575,De Martino 2010 347 Vineyards Sauvignon Blanc (Central Valley),605.0,32,13.0,2010
413,32.2972972972973,Pizzolato 2007  Prosecco del Veneto,194.0,85,13.0,2007
485,42.0,Louis Bernard 2009 Red (Côtes du Rhône Villages),242.0,86,13.0,2009
670,39.18766066838046,Snoqualmie 2013 Eco Made with Organic Grapes Cabernet Sauvignon (Columbia Valley (WA)),3878.0,87,13.0,2013
727,39.18766066838046,Rascal 2014 Pinot Noir (Oregon),4511.0,89,13.0,2014
398,17.575,Aresti 2008 Estate Selection Sauvignon Blanc (Curicó Valley),605.0,58,13.0,2008
596,15.333333333333334,Lyrarakis 2015 Vilana (Crete),13.0,91,13.0,2015
127,42.0,Pierre Sparr 2008 Alsace One White (Alsace),597.0,92,13.0,2008
46,32.2972972972973,Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),13.0,94,13.0,2011
3,39.18766066838046,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),2244.0,95,13.0,2013
17,32.88235294117647,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),899.0,96,13.0,2011
244,26.029411764705884,J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y León),1997.0,97,13.0,2007
274,32.2972972972973,Pico Maccario 2010 Estrosa White (Monferrato),597.0,98,13.0,2010
26,32.2972972972973,Stemmari 2013 Dalila White (Terre Siciliane),597.0,33,13.0,2013
947,24.17241379310345,Real Companhia Velha 2014 Evel Tinto Red (Douro),360.0,99,13.0,2014
47,39.18766066838046,The White Knight 2011 Riesling (Lake County),2244.0,100,13.0,2011
57,32.2972972972973,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),13.0,94,13.0,2011
58,17.575,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),4511.0,101,13.0,2011
486,39.18766066838046,Lyeth 2010 L de Lyeth Cabernet Sauvignon (Sonoma County),3878.0,102,13.0,2010
339,26.029411764705884,Cavas Hill NV 1887 Rosado Sparkling (Cava),223.0,103,13.0,1887
489,32.2972972972973,Vigneti Le Monde 2010 Sauvignon (Friuli Grave),114.0,104,13.0,2010
43,39.18766066838046,Robert Hall 2011 Sauvignon Blanc (Paso Robles),605.0,105,14.0,2011
301,39.18766066838046,Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA)),3298.0,106,14.0,2009
923,24.17241379310345,Fiuza 2015 Red (Tejo),14.0,107,14.0,2015
575,42.0,Château de l'Aubrade 2015  Bordeaux Supérieur,1244.0,109,14.0,2015
105,32.2972972972973,Marchesi Antinori 2015 Villa Antinori White (Toscana),597.0,110,14.0,2015
415,39.18766066838046,Red Newt Cellars 2007 Riesling (Finger Lakes),2244.0,111,14.0,2007
447,42.0,Gadais Père et Fils 2015 Domaine de la Vieille Cure Sur Lie  (Muscadet Sèvre et Maine),14.0,112,14.0,2015
992,42.0,Domaine des Terrisses 2006 Grande Tradition Red (Gaillac),1997.0,113,14.0,2006
266,32.88235294117647,Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza),1997.0,114,14.0,2008
996,32.2972972972973,Caruso & Minini 2006 Terre di Giumara Syrah (Sicilia),1212.0,115,14.0,2006
391,17.575,Valdivieso 2001 Reserve Chardonnay (Central Valley),3298.0,116,14.0,2001
2,39.18766066838046,Rainstorm 2013 Pinot Gris (Willamette Valley),434.0,117,14.0,2013
156,79.0,Carl Graff 2014 Graacher Himmelreich Spätlese Riesling (Mosel),2244.0,118,14.0,2014
573,42.0,Château Bois Chantant 2015  Bordeaux Supérieur,1244.0,119,14.0,2015
762,26.029411764705884,Oro de Castilla 2010 Solo Verdejo (Rueda),79.0,120,14.0,2010
52,32.2972972972973,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),14.0,121,14.0,2010
932,42.0,Château les Petits Arnauds 2014 Tradition  (Blaye Côtes de Bordeaux),1244.0,122,14.0,2014
228,39.18766066838046,Treleaven 2006 Semi-Dry Riesling (Cayuga Lake),2244.0,123,14.0,2006
407,17.575,Lapostolle 2007 Casa Chardonnay (Casablanca Valley),3298.0,49,14.0,2007
724,39.18766066838046,Mont Sec 2015 Mont Sec Vineyards Viognier (Texas),266.0,124,14.0,2015
56,39.18766066838046,Souverain 2010 Chardonnay (North Coast),3298.0,125,14.0,2010
721,32.88235294117647,Domaine Bousquet 2015 Cabernet Sauvignon (Tupungato),3878.0,126,14.0,2015
49,42.0,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),172.0,127,14.0,2011
935,42.0,Château Ségonzac 2014 Vieilles Vignes  (Blaye Côtes de Bordeaux),1244.0,128,14.0,2014
227,39.18766066838046,Wagner 2006 Grace House Pinot Noir (Finger Lakes),4511.0,129,15.0,2006
403,39.18766066838046,Vinavanti 2005 Le Bon Viveur Red (California),1997.0,130,15.0,2005
271,15.333333333333334,My Big Fat Greek Wine 2010 Assyrtico (Santorini),15.0,131,15.0,2010
479,32.2972972972973,Santa Maria La Palma 2006 Riserva  (Cannonau di Sardegna),33.0,132,15.0,2006
335,32.2972972972973,L'Antica Quercia 2007 Arió Extra Dry  (Prosecco di Conegliano),194.0,69,15.0,2007
